course,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,adj_gir,less_150_sg,greater_150_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,par,yardage,yardage_4_5,yardage_3,adj_penalties,adj_ob
"Shadow Creek Golf Course",-0.09,0.1,0.07,-0.28,0.011,0.016,-0.015,-0.051,-0.091,-0.098,0.63,0.002,0.01,30.8,undefined,undefined,undefined,0.0411,296.2,18.1,0.5289,0.006,-0.077,0.007,0.006,72,7361,472,190,undefined,undefined
"East Lake Golf Club",0.57,0.13,0.08,-0.46,0.01,0.022,0.008,0.014,-0.023,0.031,0.6135,0.018,0.017,24.4,undefined,undefined,undefined,0.0183,290.9,16.3,0.54,0.012,0.004,0.017,-0.002,70,7280,461,205,undefined,undefined
"Medinah Country Club (No. 3)",-1.16,0.05,0.01,-0.36,0.009,0.022,-0.001,0.023,0.001,0.107,0.6695,0.012,0.025,28.1,undefined,undefined,undefined,0.0147,290.6,18.6,0.6228,0.009,0.033,0.021,0.016,72,7470,477,199,undefined,undefined
"Sherwood Country Club",-2.11,0.05,-0.04,-0.4,0.008,0.041,0.012,0.034,0.008,0.008,0.6761,0.029,0,35.9,undefined,undefined,undefined,0.0632,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034,72,6986,464,192,undefined,undefined
"The Concession Golf Club",0.22,0.15,0.07,-0.28,0.007,0.006,-0.013,-0.072,0.067,0,0.6333,-0.02,0.006,50.3,undefined,undefined,undefined,0.1041,285.8,18,0.6994,0.001,-0.03,-0.002,-0.029,72,7327,465,204,undefined,undefined
"Trump National Doral",1.89,0.19,0.18,-0.17,0.007,0.015,0.006,0.018,-0.029,-0.006,0.5948,-0.041,-0.06,35.9,undefined,undefined,undefined,0.0578,285,19,0.5198,0.009,-0.009,-0.054,-0.046,72,7469,477,198,undefined,undefined
"TPC Craig Ranch (Par 71)",-2.65,-0.01,-0.09,-0.55,0.006,0.028,0.025,0.07,0.084,0,0.7169,0.057,0.06,37.1,undefined,undefined,undefined,0.0285,294.9,15.6,0.624,0.016,0.062,0.059,0.038,71,7268,463,196,undefined,undefined
"Crooked Stick GC",-0.32,0.13,0.07,-0.38,0.006,0.012,0.004,0.008,-0.002,-0.002,0.6416,0.014,0.025,35.2,undefined,undefined,undefined,0.0584,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006,72,7474,478,195,undefined,undefined
"Golf Club of Houston",-0.51,0.05,0.04,-0.27,0.006,0.015,0.013,0.034,0.072,0.022,0.6954,0.035,0.004,32.9,undefined,undefined,undefined,0.0987,280.5,16.6,0.6321,0.01,0.039,0.015,-0.049,72,7319,468,192,undefined,undefined
"TPC Harding Park",1.03,0.12,0.11,-0.38,0.005,0.032,-0.002,0.004,-0.048,-0.019,0.5909,-0.03,0.007,28.7,undefined,undefined,undefined,0.0126,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009,70,7180,457,197,undefined,undefined
"Robert Trent Jones GC",-0.82,0.01,0,-0.29,0.005,-0.011,-0.012,-0.021,-0.015,-0.037,0.714,0.036,0.051,29.9,undefined,undefined,undefined,0.0439,285.6,17.6,0.6464,-0.004,-0.026,0.046,0.033,71,7265,465,187,undefined,undefined
"Liberty National Golf Club",-0.3,0.05,0.07,-0.43,0.005,0.015,0.008,0.006,-0.016,0.053,0.6086,0.008,0.018,36.8,undefined,undefined,undefined,0.1028,286.4,17.2,0.6609,0.008,0.019,0.015,-0.023,71,7201,460,190,undefined,undefined
"Whistling Straits",1.03,0.12,0.16,-0.26,0.005,0.034,-0.007,-0.018,-0.074,-0.241,0.6018,-0.075,0.002,29.6,undefined,undefined,undefined,0.0196,283.7,17.5,0.5997,0.009,-0.074,-0.028,0.006,72,7313,467,192,undefined,undefined
"Glen Abbey GC",-1.05,0.06,0.05,-0.44,0.005,0.016,0.001,0.016,0.02,-0.023,0.6294,-0.01,-0.074,31.3,undefined,undefined,undefined,0.0241,299.9,19.4,0.5168,0.007,0.006,-0.047,0.032,72,7197,466,168,undefined,undefined
"Pebble Beach Golf Links (U.S. Open)",1.61,0.11,0.15,-0.16,0.004,0.001,-0.014,-0.006,-0.073,-0.046,0.5595,-0.04,-0.052,34.9,undefined,undefined,undefined,0.0395,270.2,17.9,0.6493,-0.001,-0.048,-0.047,-0.048,71,7003,450,176,undefined,undefined
"The Old White TPC",-0.83,0.05,-0.03,-0.34,0.004,0.002,0.008,0.031,-0.006,-0.025,0.6983,0.034,0.052,36.6,undefined,undefined,undefined,0.0461,291.1,18.8,0.6592,0.005,0.008,0.044,0.029,70,7113,451,198,undefined,undefined
"TPC Twin Cities",-1.13,0,-0.01,-0.34,0.004,0.012,0.027,0.023,0.01,-0.035,0.7218,0.032,0.016,35.4,undefined,undefined,undefined,0.0763,292.5,16.7,0.6392,0.013,0.011,0.022,0.009,71,7213,462,191,undefined,undefined
"Aronimink GC",-1.14,0.04,-0.03,-0.46,0.004,0.026,0.008,-0.029,-0.027,0.027,0.7424,0.017,0.063,39.7,undefined,undefined,undefined,0.0044,286.3,16.5,0.6825,0.01,-0.014,0.042,0.035,70,7036,446,199,undefined,undefined
"TPC Deere Run",-1.76,-0.04,-0.04,-0.37,0.004,0.02,0.013,-0.022,-0.005,0.027,0.7218,0.027,0.025,38.4,undefined,undefined,undefined,0.0252,290.2,18.3,0.6962,0.011,-0.007,0.026,0.046,71,7119,455,186,undefined,undefined
"Pete Dye Stadium Course",-1.59,0.09,-0.06,-0.34,0.004,0.017,0.016,0.043,0.079,-0.147,0.6735,0.046,-0.019,33.8,undefined,undefined,undefined,0.0438,281.8,16.7,0.5965,0.01,0.041,0.006,-0.02,72,7149,457,187,undefined,undefined
"Conway Farms GC",-0.81,0.11,-0.02,-0.34,0.004,0.008,0.005,0.013,0.013,-0.047,0.6321,0.013,0.01,30.4,undefined,undefined,undefined,0.0321,281,19.9,0.5999,0.005,0.005,0.011,0.012,71,6987,445,191,undefined,undefined
"Ridgewood CC",0.09,0.01,0.06,-0.21,0.004,0.017,0.006,0,-0.059,-0.008,0.6491,0.003,0.035,32.6,undefined,undefined,undefined,0.0104,280.2,16.8,0.6264,0.008,-0.023,0.026,-0.03,71,7290,467,190,undefined,undefined
"Caves Valley Golf Club",-1.9,0.04,-0.05,-0.39,0.003,0.014,0.022,0.016,-0.017,0.03,0.696,0.024,0.072,33.1,undefined,undefined,undefined,0.0094,290.2,17,0.6509,0.011,0.008,0.059,0.042,72,7424,471,209,undefined,undefined
"Sea Island Golf Club (Seaside)",-1.2,0,-0.03,-0.42,0.003,0.013,0.005,0.015,0.047,0.054,0.7479,0.014,0.034,42.4,undefined,undefined,undefined,0.1031,280.6,15.7,0.7091,0.006,0.025,0.026,-0.003,70,6878,435,195,undefined,undefined
"TPC Southwind",0.17,0.04,0.07,-0.4,0.003,0.016,0.007,0,-0.006,0.026,0.6024,0.005,-0.017,29.2,undefined,undefined,undefined,0.0426,289.7,17.5,0.5629,0.007,0.003,-0.009,-0.003,70,7088,456,175,undefined,undefined
"TPC Potomac at Avenel Farm",0.93,0.07,0.08,-0.13,0.003,0.005,0.004,0.024,-0.029,-0.061,0.614,0.01,-0.003,31.4,undefined,undefined,undefined,0.0676,280.7,18.1,0.5972,0.003,-0.014,0,-0.038,70,7069,451,190,undefined,undefined
"TPC Craig Ranch",-2.76,0.01,-0.08,-0.51,0.003,0.013,0.019,0.046,0.06,0.032,0.7074,0.02,0.058,38.5,undefined,undefined,undefined,0.0268,293.7,16.4,0.6408,0.009,0.047,0.046,0.032,72,7250,465,190,undefined,undefined
"Sedgefield Country Club",-1.21,-0.02,0,-0.57,0.002,-0.012,-0.018,-0.037,-0.066,0.024,0.7366,0.06,0.077,29.4,undefined,undefined,undefined,0.0486,286,18.4,0.6156,-0.007,-0.037,0.071,0.022,70,6958,442,193,undefined,undefined
"Colonial Country Club",0.63,0.08,0.06,-0.23,0.002,0.003,0.007,0.002,0.032,0.048,0.614,-0.028,-0.007,27.9,undefined,undefined,undefined,0.017,281.1,19.4,0.5522,0.004,0.026,-0.015,-0.045,70,7005,445,193,undefined,undefined
"TPC Scottsdale (Stadium Course)",-0.3,0.05,0.05,-0.35,0.002,0.008,0.01,-0.016,0.037,-0.017,0.6595,-0.006,0.001,31.6,undefined,undefined,undefined,0.0785,299.2,17.8,0.5616,0.006,-0.006,-0.001,0.016,71,7274,467,183,undefined,undefined
"TPC Summerlin",-1.48,0.05,-0.03,-0.45,0.002,0.012,0.007,-0.058,-0.039,-0.041,0.7237,0.004,0.021,34.4,undefined,undefined,undefined,0.0201,299.2,19.6,0.6103,0.006,-0.05,0.014,0.052,71,7073,451,190,undefined,undefined
"Keene Trace Golf Club (Champions Course)",-3.14,-0.03,-0.07,-0.58,0.002,0.004,-0.001,0.027,0.021,0,0.7427,0.049,0.032,34.7,undefined,undefined,undefined,0.0445,293.9,18.1,0.6231,0.001,0.02,0.038,0.034,72,7143,456,188,undefined,undefined
"The Dunes Golf and Beach Club",-1.72,0.02,-0.03,-0.51,0.002,0.014,0.001,0.015,0.065,0.025,0.704,0.04,0.007,32.9,undefined,undefined,undefined,0.009,290.5,19.5,0.583,0.004,0.039,0.02,-0.004,71,7121,455,189,undefined,undefined
"Firestone CC (South)",1.48,0.09,0.12,-0.18,0.002,0.005,-0.001,-0.007,-0.002,-0.005,0.5544,-0.041,0.005,23.5,undefined,undefined,undefined,0.0013,298.8,22.1,0.4636,0.002,-0.005,-0.014,0.012,70,7337,467,200,undefined,undefined
